brand,level_1,TimeIdx,sessions,conversions,revenue,cr,aov,idx_sessions,idx_cr,idx_aov,Level,Year
alpha,0,1,7985,62,26860.06,0.007764558547276142,433.2267741935484,0.8090991995136285,1.555569508201565,1.0273850165240934,Monthly,Overall
alpha,1,2,7815,39,16452.72,0.0049904030710172746,421.86461538461543,0.7918735434187861,0.9997888229760602,1.0004399789340348,Monthly,Overall
alpha,2,3,9735,57,23242.89,0.005855161787365178,407.77,0.9864221299017124,1.1730365720801257,0.9670149980177941,Monthly,Overall
alpha,3,4,10003,57,23976.8,0.005698290512846147,420.6456140350877,1.0135778700982876,1.1416086203339022,0.9975491517824611,Monthly,Overall
alpha,4,5,11000,45,18967.21,0.004090909090909091,421.49355555555553,1.1146012767250988,0.8195821312822983,0.999560021065965,Monthly,Overall
alpha,5,6,9733,42,17613.4,0.004315216274529949,419.3666666666667,0.986219475124126,0.8645203480768103,0.9945161643460667,Monthly,Overall
alpha,6,7,8582,33,13766.710000000001,0.0038452575157305988,417.1730303030303,0.8695916506231635,0.7703677300175412,0.9893140178815559,Monthly,Overall
alpha,7,8,9188,52,22140.32,0.0056595559425337396,425.7753846153846,0.930996048231837,1.1338484474761152,1.0097142573261193,Monthly,Overall
alpha,8,9,10015,50,20723.7,0.004992511233150275,414.474,1.0147937987638058,1.00021117702394,0.9829133440136038,Monthly,Overall
alpha,9,10,12484,42,17872.16,0.0033643063120794617,425.52761904761905,1.264971121694194,0.6740128602876959,1.0091266883043137,Monthly,Overall
alpha,10,11,10686,51,22101.34,0.004772599663110612,433.35960784313727,1.0827844766440369,0.9561535875587359,1.0277000277593336,Monthly,Overall
alpha,11,12,13135,73,30857.95,0.0055576703464027405,422.7116438356164,1.330935251798561,1.1134364529369123,1.0024486828991763,Monthly,Overall
alpha,0,1,1990,18,7825.62,0.009045226130653266,434.75666666666666,0.8620316222655404,1.8483086101176553,1.040213277882244,Weekly,Overall
alpha,1,2,1818,20,8866.92,0.011001100110011002,443.346,0.7875243664717348,2.2479734348699028,1.060764402836793,Weekly,Overall
alpha,2,3,1738,13,5534.889999999999,0.007479861910241657,425.7607692307692,0.7528698288932207,1.5284408561483107,1.018689394117485,Weekly,Overall
alpha,3,4,1719,8,3385.3199999999997,0.004653868528214078,423.16499999999996,0.7446393762183235,0.9509751494109325,1.0124786702179145,Weekly,Overall
alpha,4,5,1995,7,2905.25,0.0035087719298245615,415.0357142857143,0.8641975308641975,0.71698521133219,0.9930282705160925,Weekly,Overall
alpha,5,6,1830,8,3488.91,0.004371584699453552,436.11375,0.792722547108512,0.8932930501843678,1.043460280655886,Weekly,Overall
alpha,6,7,1962,9,3746.87,0.0045871559633027525,416.31888888888886,0.8499025341130604,0.9373430515122667,0.9960984368008269,Weekly,Overall
alpha,7,8,2015,14,5929.33,0.006947890818858561,423.5235714285714,0.8728611652588261,1.4197374656156019,1.0133366001581934,Weekly,Overall
alpha,8,9,2089,15,6131.06,0.007180469123982767,408.73733333333337,0.9049166125189517,1.467262699112069,0.9779585545159686,Weekly,Overall
alpha,9,10,2246,11,4607.74,0.004897595725734639,418.88545454545454,0.9729261425167858,1.000778556334112,1.0022392872562913,Weekly,Overall
alpha,10,11,2059,13,5266.35,0.006313744536182613,405.1038461538462,0.8919211609270089,1.2901555162631198,0.9692649520967207,Weekly,Overall
alpha,11,12,2203,13,5261.5199999999995,0.005901044030866999,404.73230769230764,0.9542993285683344,1.205823970942244,0.9683759968015678,Weekly,Overall
alpha,12,13,2310,13,5317.45,0.005627705627705628,409.0346153846154,1.000649772579597,1.1499697870068242,0.9786698414512343,Weekly,Overall
alpha,13,14,2289,17,6934.62,0.007426823940585408,407.9188235294118,0.9915529564652371,1.5176030357817651,0.9760001607030708,Weekly,Overall
alpha,14,15,2333,18,7934.55,0.007715387912558937,440.80833333333334,1.01061295213342,1.5765684244038296,1.0546926970668853,Weekly,Overall
alpha,15,16,2392,7,2822.23,0.002926421404682274,403.17571428571426,1.0361706735975742,0.5979872477457019,0.9646516395830417,Weekly,Overall
alpha,16,17,2314,11,4630.88,0.004753673292999135,420.9890909090909,1.0023824994585229,0.9713693334167741,1.0072725176701407,Weekly,Overall
alpha,17,18,2509,10,4126.12,0.0039856516540454365,412.61199999999997,1.086852934806151,0.8144311886395941,0.9872292110074182,Weekly,Overall
alpha,18,19,2634,7,2909.27,0.0026575550493545936,415.61,1.1410006497725795,0.5430468855762031,0.9944023256395672,Weekly,Overall
alpha,19,20,2406,13,5393.67,0.005403158769742311,414.8976923076923,1.042235217673814,1.1040857057297437,0.992698034535403,Weekly,Overall
alpha,20,21,2431,15,6461.94,0.006170300287947347,430.796,1.0530647606670998,1.2608440059420452,1.0307368549270302,Weekly,Overall
alpha,21,22,2332,8,3233.34,0.003430531732418525,404.1675,1.0101797704136886,0.7009975479577157,0.9670246191090922,Weekly,Overall
alpha,22,23,2349,10,4409.16,0.004257130693912303,440.916,1.0175438596491229,0.8699054288193876,1.054950303918807,Weekly,Overall
alpha,23,24,2146,6,2484.51,0.0027958993476234857,414.08500000000004,0.9296079705436431,0.5713162681165167,0.9907535598577036,Weekly,Overall
alpha,24,25,2307,13,5364.95,0.005635023840485479,412.6884615384615,0.9993502274204028,1.151465196352737,0.9874121554304787,Weekly,Overall
alpha,25,26,2186,6,2496.33,0.0027447392497712718,416.055,0.9469352393329001,0.5608621735489684,0.9954670474578815,Weekly,Overall
alpha,26,27,2027,6,2435.3,0.0029600394671928957,405.8833333333334,0.8780593458956032,0.6048567890370226,0.9711299790789596,Weekly,Overall
